,datetime,time,Amount_HYPE_HyperEVM,price_HYPE_HyperEVM,price_HYPE_HyperCORE,delta_USD,arb_profit,block_number
304,2025-03-22 10:53:42+00:00,2025-03-22 10:53:42.024677500+00:00,1.56,16.3766922,16.408,0.03130780000000044,0.04884016800000069,1441798
305,2025-03-22 10:54:34+00:00,2025-03-22 10:54:41.006340302+00:00,2.63213545,16.3766922,16.397,0.020307799999997656,0.05345288029150382,1441825
306,2025-03-22 10:54:52+00:00,2025-03-22 10:54:54.290160235+00:00,6.5764,16.3766922,16.396,0.019307799999999986,0.1269758159199999,1441834
308,2025-03-22 10:57:46+00:00,2025-03-22 10:57:47.860555049+00:00,9.76011367,16.19122041,16.195,0.00377959000000061,0.03688922802600126,1441924
309,2025-03-22 10:58:10+00:00,2025-03-22 10:58:11.095558768+00:00,1.0749446245533956,16.19122041,16.2,0.008779589999999615,0.009437573076282332,1441937
310,2025-03-22 10:59:12+00:00,2025-03-22 10:59:12.034687455+00:00,0.69,16.19122041,16.199,0.007779590000001946,0.005367917100001342,1441969
312,2025-03-22 11:02:32+00:00,2025-03-22 11:02:32.043131213+00:00,30.0,16.19122041,16.272,0.08077958999999879,2.4233876999999637,1442072
313,2025-03-22 11:05:20+00:00,2025-03-22 11:05:21.025920381+00:00,10.0,16.19122041,16.285,0.09377959000000047,0.9377959000000047,1442159
314,2025-03-22 11:05:48+00:00,2025-03-22 11:05:49.361626285+00:00,1.51997606,16.19122041,16.287,0.09577958999999936,0.14558268383661443,1442173
315,2025-03-22 11:05:52+00:00,2025-03-22 11:05:59.085446355+00:00,0.4779592,16.19122041,16.287,0.09577958999999936,0.04577873621272769,1442175
316,2025-03-22 11:07:16+00:00,2025-03-22 11:07:21.047631712+00:00,306.9,16.19122041,16.285,0.09377959000000047,28.780956171000142,1442219
317,2025-03-22 11:08:10+00:00,2025-03-22 11:08:10.508174701+00:00,5.0,16.19122041,16.271,0.07977959000000112,0.3988979500000056,1442247
321,2025-03-22 11:21:52+00:00,2025-03-22 11:21:52.538492161+00:00,1.0,16.09942472,16.1,0.0005752800000031755,0.0005752800000031755,1442671
322,2025-03-22 11:22:16+00:00,2025-03-22 11:22:16.812051584+00:00,21.556791790000002,16.09942472,16.1,0.0005752800000031755,0.012401191181019655,1442684
323,2025-03-22 11:27:58+00:00,2025-03-22 11:27:59.061250646+00:00,80.0,16.09942472,16.119,0.019575280000001527,1.5660224000001222,1442860
341,2025-03-22 11:58:40+00:00,2025-03-22 11:58:41.724404764+00:00,0.1,16.01431915,16.019,0.004680849999999737,0.0004680849999999737,1443812
342,2025-03-22 11:59:08+00:00,2025-03-22 11:59:12.001416732+00:00,17.0,16.01431915,16.029,0.0146808500000013,0.2495744500000221,1443827
